Match History
Match ID,match_20251104_161624
Date,2025-11-04T16:16:24.562140Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-04T16:16:32.942380Z,"[1, 4, 12]",
2025-11-04T16:16:32.971371Z,,"[2, 6, 10]"
2025-11-04T16:16:34.175962Z,"[3, 5, 9]",
2025-11-04T16:16:34.203876Z,,"[4, 7, 9]"
2025-11-04T16:16:34.604272Z,"[5, 6, 7]",
2025-11-04T16:16:34.636349Z,,"[6, 8, 8]"
2025-11-04T16:16:35.639820Z,"[7, 9, 7]",
2025-11-04T16:16:35.675811Z,,"[8, 5, 11]"
2025-11-04T16:16:36.808036Z,"[9, 6, 12]",
2025-11-04T16:16:36.845024Z,,"[10, 7, 8]"
2025-11-04T16:16:37.687872Z,"[11, 7, 7]",
2025-11-04T16:16:37.722863Z,,"[12, 6, 8]"
2025-11-04T16:16:38.551721Z,"[13, 5, 8]",
2025-11-04T16:16:38.587712Z,,"[14, 9, 8]"
2025-11-04T16:16:39.246713Z,"[15, 10, 8]",
2025-11-04T16:16:39.283713Z,,"[16, 5, 7]"
2025-11-04T16:16:41.232666Z,"[17, 8, 7]",
2025-11-04T16:16:41.249741Z,,"[18, 10, 7]"
2025-11-04T16:16:42.474121Z,"[19, 8, 6]",
2025-11-04T16:16:42.531118Z,,"[20, 4, 6]"
2025-11-04T16:16:49.062941Z,"[21, 8, 10]",
2025-11-04T16:16:49.101932Z,,"[22, 8, 9]"
2025-11-04T16:16:51.579905Z,"[23, 9, 9]",
2025-11-04T16:16:51.597202Z,,"[24, 7, 11]"
2025-11-04T16:16:54.125728Z,"[25, 11, 7]",
2025-11-04T16:16:54.141726Z,,"[26, 3, 5]"
