Match History
Match ID,match_20251103_030332
Date,2025-11-03T03:03:32.326314Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-03T03:03:35.929863Z,"[1, 7, 7]",
2025-11-03T03:03:36.080209Z,,"[2, 6, 7]"
2025-11-03T03:03:36.623667Z,"[3, 7, 8]",
2025-11-03T03:03:36.799059Z,,"[4, 7, 6]"
2025-11-03T03:03:38.162038Z,"[5, 7, 9]",
2025-11-03T03:03:38.368514Z,,"[6, 8, 5]"
2025-11-03T03:03:38.848891Z,"[7, 7, 10]",
2025-11-03T03:03:38.865117Z,,"[8, 7, 11]"
2025-11-03T03:03:41.187820Z,"[9, 8, 9]",
2025-11-03T03:03:41.472100Z,,"[10, 5, 8]"
2025-11-03T03:03:44.927486Z,"[11, 4, 9]",
2025-11-03T03:03:44.944221Z,,"[12, 9, 4]"
