Match History
Match ID,match_20251104_151741
Date,2025-11-04T15:17:41.365061Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-04T15:17:41.924492Z,"[1, 6, 6]",
2025-11-04T15:17:41.955207Z,,"[2, 7, 7]"
2025-11-04T15:17:42.706662Z,"[3, 7, 9]",
2025-11-04T15:17:42.733665Z,,"[4, 6, 7]"
2025-11-04T15:17:43.037883Z,"[5, 9, 9]",
2025-11-04T15:17:43.067980Z,,"[6, 8, 7]"
2025-11-04T15:17:43.338472Z,"[7, 10, 7]",
2025-11-04T15:17:43.370561Z,,"[8, 5, 7]"
2025-11-04T15:17:43.621426Z,"[9, 9, 6]",
2025-11-04T15:17:43.637511Z,,"[10, 4, 7]"
