Match History
Match ID,match_20251103_030632
Date,2025-11-03T03:06:32.596878Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-03T03:06:34.222081Z,"[1, 4, 3]",
2025-11-03T03:06:34.240174Z,,"[2, 3, 3]"
2025-11-03T03:06:34.419164Z,"[3, 4, 5]",
2025-11-03T03:06:34.502708Z,,"[4, 1, 4]"
2025-11-03T03:06:34.598862Z,"[5, 5, 5]",
2025-11-03T03:06:34.766444Z,,"[6, 3, 6]"
2025-11-03T03:06:34.783398Z,"[7, 6, 5]",
2025-11-03T03:06:35.032210Z,,"[8, 5, 8]"
2025-11-03T03:06:35.145450Z,"[9, 7, 9]",
2025-11-03T03:06:35.296434Z,,"[10, 3, 2]"
2025-11-03T03:06:35.328828Z,"[11, 9, 9]",
2025-11-03T03:06:35.561220Z,,"[12, 0, 5]"
2025-11-03T03:06:35.725610Z,"[13, 10, 4]",
2025-11-03T03:06:35.824153Z,,"[14, 4, 1]"
2025-11-03T03:06:35.920161Z,"[15, 11, 4]",
2025-11-03T03:06:36.084868Z,,"[16, 2, 3]"
